QP= 6 | PSNR=54.06 | SSIM=0.9995 | size=14.23 KB | ratio=0.2488 | reduction=75.12% | time=1.0604s
QP=12 | PSNR=50.62 | SSIM=0.9985 | size=6.75 KB | ratio=0.1181 | reduction=88.19% | time=0.8271s
QP=18 | PSNR=47.79 | SSIM=0.9959 | size=3.47 KB | ratio=0.0608 | reduction=93.92% | time=0.7276s
QP=24 | PSNR=46.11 | SSIM=0.9929 | size=1.51 KB | ratio=0.0264 | reduction=97.36% | time=0.6298s
QP=30 | PSNR=43.00 | SSIM=0.9828 | size=838 B | ratio=0.0143 | reduction=98.57% | time=0.6076s
QP=36 | PSNR=39.92 | SSIM=0.9679 | size=369 B | ratio=0.0063 | reduction=99.37% | time=0.5744s
QP=42 | PSNR=37.75 | SSIM=0.9537 | size=235 B | ratio=0.0040 | reduction=99.60% | time=0.5437s
QP=48 | PSNR=34.25 | SSIM=0.9232 | size=151 B | ratio=0.0026 | reduction=99.74% | time=0.5404s
QP= 6 | PSNR=53.95 | SSIM=0.9995 | size=14.62 KB | ratio=0.2471 | reduction=75.29% | time=1.0743s
QP=12 | PSNR=50.35 | SSIM=0.9984 | size=6.77 KB | ratio=0.1144 | reduction=88.56% | time=0.8260s
QP=18 | PSNR=47.60 | SSIM=0.9957 | size=3.16 KB | ratio=0.0535 | reduction=94.65% | time=0.7208s
QP=24 | PSNR=46.06 | SSIM=0.9931 | size=1.52 KB | ratio=0.0257 | reduction=97.43% | time=0.6333s
QP=30 | PSNR=43.15 | SSIM=0.9847 | size=884 B | ratio=0.0146 | reduction=98.54% | time=0.6284s
QP=36 | PSNR=40.02 | SSIM=0.9694 | size=372 B | ratio=0.0061 | reduction=99.39% | time=0.5860s
QP=42 | PSNR=37.59 | SSIM=0.9525 | size=244 B | ratio=0.0040 | reduction=99.60% | time=0.5393s
QP=48 | PSNR=34.16 | SSIM=0.9186 | size=160 B | ratio=0.0026 | reduction=99.74% | time=0.5464s
QP= 6 | PSNR=53.67 | SSIM=0.9994 | size=15.71 KB | ratio=0.2573 | reduction=74.27% | time=1.0649s
QP=12 | PSNR=50.19 | SSIM=0.9984 | size=7.02 KB | ratio=0.1151 | reduction=88.49% | time=0.8545s
QP=18 | PSNR=47.45 | SSIM=0.9955 | size=3.60 KB | ratio=0.0590 | reduction=94.10% | time=0.7361s
QP=24 | PSNR=45.75 | SSIM=0.9923 | size=1.72 KB | ratio=0.0281 | reduction=97.19% | time=0.6395s
QP=30 | PSNR=43.15 | SSIM=0.9843 | size=1.04 KB | ratio=0.0170 | reduction=98.30% | time=0.6056s
QP=36 | PSNR=39.08 | SSIM=0.9576 | size=366 B | ratio=0.0059 | reduction=99.41% | time=0.5623s
QP=42 | PSNR=37.13 | SSIM=0.9417 | size=227 B | ratio=0.0036 | reduction=99.64% | time=0.5471s
QP=48 | PSNR=34.11 | SSIM=0.9051 | size=144 B | ratio=0.0023 | reduction=99.77% | time=0.5429s
QP= 6 | PSNR=53.25 | SSIM=0.9994 | size=17.55 KB | ratio=0.2687 | reduction=73.13% | time=1.0889s
QP=12 | PSNR=49.65 | SSIM=0.9983 | size=7.67 KB | ratio=0.1174 | reduction=88.26% | time=0.8413s
QP=18 | PSNR=47.10 | SSIM=0.9954 | size=3.90 KB | ratio=0.0598 | reduction=94.02% | time=0.7143s
QP=24 | PSNR=45.69 | SSIM=0.9928 | size=1.95 KB | ratio=0.0299 | reduction=97.01% | time=0.6363s
QP=30 | PSNR=42.96 | SSIM=0.9847 | size=1.25 KB | ratio=0.0191 | reduction=98.09% | time=0.6190s
QP=36 | PSNR=38.68 | SSIM=0.9556 | size=523 B | ratio=0.0078 | reduction=99.22% | time=0.5820s
QP=42 | PSNR=35.56 | SSIM=0.9179 | size=244 B | ratio=0.0036 | reduction=99.64% | time=0.5539s
QP=48 | PSNR=33.05 | SSIM=0.8814 | size=154 B | ratio=0.0023 | reduction=99.77% | time=0.5315s
QP= 6 | PSNR=52.80 | SSIM=0.9994 | size=19.17 KB | ratio=0.2721 | reduction=72.79% | time=1.0850s
QP=12 | PSNR=49.32 | SSIM=0.9983 | size=8.68 KB | ratio=0.1233 | reduction=87.67% | time=0.8981s
QP=18 | PSNR=46.89 | SSIM=0.9957 | size=4.40 KB | ratio=0.0625 | reduction=93.75% | time=0.7679s
QP=24 | PSNR=45.21 | SSIM=0.9929 | size=2.28 KB | ratio=0.0324 | reduction=96.76% | time=0.6635s
QP=30 | PSNR=41.98 | SSIM=0.9824 | size=1.35 KB | ratio=0.0192 | reduction=98.08% | time=0.6159s
QP=36 | PSNR=38.16 | SSIM=0.9557 | size=609 B | ratio=0.0084 | reduction=99.16% | time=0.5919s
QP=42 | PSNR=35.27 | SSIM=0.9160 | size=303 B | ratio=0.0042 | reduction=99.58% | time=0.5483s
QP=48 | PSNR=32.24 | SSIM=0.8500 | size=153 B | ratio=0.0021 | reduction=99.79% | time=0.5174s
QP= 6 | PSNR=53.89 | SSIM=0.9994 | size=14.61 KB | ratio=0.2494 | reduction=75.06% | time=1.0595s
QP=12 | PSNR=50.56 | SSIM=0.9984 | size=6.82 KB | ratio=0.1164 | reduction=88.36% | time=0.8592s
QP=18 | PSNR=47.59 | SSIM=0.9955 | size=3.34 KB | ratio=0.0570 | reduction=94.30% | time=0.6929s
QP=24 | PSNR=46.05 | SSIM=0.9928 | size=1.51 KB | ratio=0.0258 | reduction=97.42% | time=0.6231s
QP=30 | PSNR=43.18 | SSIM=0.9841 | size=881 B | ratio=0.0147 | reduction=98.53% | time=0.5892s
QP=36 | PSNR=39.91 | SSIM=0.9663 | size=359 B | ratio=0.0060 | reduction=99.40% | time=0.5647s
QP=42 | PSNR=37.61 | SSIM=0.9518 | size=226 B | ratio=0.0038 | reduction=99.62% | time=0.5323s
QP=48 | PSNR=34.50 | SSIM=0.9191 | size=144 B | ratio=0.0024 | reduction=99.76% | time=0.5149s
QP= 6 | PSNR=53.97 | SSIM=0.9995 | size=14.51 KB | ratio=0.2484 | reduction=75.16% | time=1.0392s
QP=12 | PSNR=50.60 | SSIM=0.9985 | size=6.77 KB | ratio=0.1158 | reduction=88.42% | time=0.8121s
QP=18 | PSNR=47.63 | SSIM=0.9955 | size=3.36 KB | ratio=0.0575 | reduction=94.25% | time=0.7145s
QP=24 | PSNR=46.15 | SSIM=0.9930 | size=1.50 KB | ratio=0.0257 | reduction=97.43% | time=0.6042s
QP=30 | PSNR=42.93 | SSIM=0.9831 | size=803 B | ratio=0.0134 | reduction=98.66% | time=0.6100s
QP=36 | PSNR=40.04 | SSIM=0.9684 | size=341 B | ratio=0.0057 | reduction=99.43% | time=0.5416s
QP=42 | PSNR=37.81 | SSIM=0.9542 | size=222 B | ratio=0.0037 | reduction=99.63% | time=0.5442s
QP=48 | PSNR=34.35 | SSIM=0.9169 | size=153 B | ratio=0.0026 | reduction=99.74% | time=0.5199s
QP= 6 | PSNR=53.68 | SSIM=0.9994 | size=15.30 KB | ratio=0.2525 | reduction=74.75% | time=1.0506s
QP=12 | PSNR=50.30 | SSIM=0.9984 | size=7.11 KB | ratio=0.1173 | reduction=88.27% | time=0.8164s
QP=18 | PSNR=47.44 | SSIM=0.9955 | size=3.59 KB | ratio=0.0592 | reduction=94.08% | time=0.7131s
QP=24 | PSNR=45.84 | SSIM=0.9925 | size=1.59 KB | ratio=0.0263 | reduction=97.37% | time=0.6532s
QP=30 | PSNR=43.38 | SSIM=0.9847 | size=1018 B | ratio=0.0164 | reduction=98.36% | time=0.6370s
QP=36 | PSNR=39.48 | SSIM=0.9607 | size=360 B | ratio=0.0058 | reduction=99.42% | time=0.5823s
QP=42 | PSNR=37.31 | SSIM=0.9415 | size=214 B | ratio=0.0034 | reduction=99.66% | time=0.5434s
QP=48 | PSNR=34.24 | SSIM=0.9132 | size=146 B | ratio=0.0024 | reduction=99.76% | time=0.5319s
QP= 6 | PSNR=53.46 | SSIM=0.9994 | size=16.34 KB | ratio=0.2608 | reduction=73.92% | time=1.1096s
QP=12 | PSNR=50.01 | SSIM=0.9983 | size=7.48 KB | ratio=0.1194 | reduction=88.06% | time=0.8334s
QP=18 | PSNR=47.24 | SSIM=0.9952 | size=3.72 KB | ratio=0.0593 | reduction=94.07% | time=0.7220s
QP=24 | PSNR=45.53 | SSIM=0.9919 | size=1.75 KB | ratio=0.0279 | reduction=97.21% | time=0.6319s
QP=30 | PSNR=42.90 | SSIM=0.9831 | size=1.02 KB | ratio=0.0162 | reduction=98.38% | time=0.5950s
QP=36 | PSNR=39.03 | SSIM=0.9548 | size=363 B | ratio=0.0057 | reduction=99.43% | time=0.5717s
QP=42 | PSNR=36.95 | SSIM=0.9373 | size=215 B | ratio=0.0034 | reduction=99.66% | time=0.5542s
QP=48 | PSNR=33.81 | SSIM=0.9012 | size=136 B | ratio=0.0021 | reduction=99.79% | time=0.5120s
QP= 6 | PSNR=53.40 | SSIM=0.9994 | size=16.20 KB | ratio=0.2568 | reduction=74.32% | time=1.0993s
QP=12 | PSNR=49.92 | SSIM=0.9983 | size=7.32 KB | ratio=0.1160 | reduction=88.40% | time=0.8993s
QP=18 | PSNR=47.34 | SSIM=0.9956 | size=3.91 KB | ratio=0.0620 | reduction=93.80% | time=0.7231s
QP=24 | PSNR=45.64 | SSIM=0.9926 | size=1.73 KB | ratio=0.0274 | reduction=97.26% | time=0.6319s
QP=30 | PSNR=42.98 | SSIM=0.9846 | size=1.06 KB | ratio=0.0169 | reduction=98.31% | time=0.6004s
QP=36 | PSNR=39.22 | SSIM=0.9616 | size=441 B | ratio=0.0068 | reduction=99.32% | time=0.5645s
QP=42 | PSNR=36.61 | SSIM=0.9363 | size=253 B | ratio=0.0039 | reduction=99.61% | time=0.5605s
QP=48 | PSNR=33.20 | SSIM=0.8960 | size=157 B | ratio=0.0024 | reduction=99.76% | time=0.5246s
QP= 6 | PSNR=53.44 | SSIM=0.9995 | size=16.22 KB | ratio=0.2555 | reduction=74.45% | time=1.1080s
QP=12 | PSNR=49.88 | SSIM=0.9985 | size=7.46 KB | ratio=0.1174 | reduction=88.26% | time=0.8407s
QP=18 | PSNR=47.26 | SSIM=0.9962 | size=3.80 KB | ratio=0.0598 | reduction=94.02% | time=0.7451s
QP=24 | PSNR=45.56 | SSIM=0.9937 | size=1.80 KB | ratio=0.0284 | reduction=97.16% | time=0.6447s
QP=30 | PSNR=42.69 | SSIM=0.9865 | size=1.06 KB | ratio=0.0167 | reduction=98.33% | time=0.6048s
QP=36 | PSNR=39.46 | SSIM=0.9725 | size=506 B | ratio=0.0078 | reduction=99.22% | time=0.5781s
QP=42 | PSNR=36.53 | SSIM=0.9548 | size=316 B | ratio=0.0049 | reduction=99.51% | time=0.5834s
QP=48 | PSNR=33.01 | SSIM=0.9229 | size=195 B | ratio=0.0030 | reduction=99.70% | time=0.5496s
QP= 6 | PSNR=53.13 | SSIM=0.9994 | size=18.73 KB | ratio=0.2762 | reduction=72.38% | time=1.1194s
QP=12 | PSNR=49.50 | SSIM=0.9984 | size=8.36 KB | ratio=0.1233 | reduction=87.67% | time=0.8503s
QP=18 | PSNR=46.91 | SSIM=0.9957 | size=4.37 KB | ratio=0.0645 | reduction=93.55% | time=0.7537s
QP=24 | PSNR=45.29 | SSIM=0.9929 | size=2.11 KB | ratio=0.0311 | reduction=96.89% | time=0.6702s
QP=30 | PSNR=42.51 | SSIM=0.9844 | size=1.34 KB | ratio=0.0198 | reduction=98.02% | time=0.6161s
QP=36 | PSNR=38.52 | SSIM=0.9609 | size=612 B | ratio=0.0088 | reduction=99.12% | time=0.5637s
QP=42 | PSNR=35.25 | SSIM=0.9233 | size=305 B | ratio=0.0044 | reduction=99.56% | time=0.5481s
QP=48 | PSNR=32.19 | SSIM=0.8603 | size=162 B | ratio=0.0023 | reduction=99.77% | time=0.5276s
QP= 6 | PSNR=53.55 | SSIM=0.9994 | size=15.58 KB | ratio=0.2532 | reduction=74.68% | time=1.1020s
QP=12 | PSNR=50.14 | SSIM=0.9984 | size=7.30 KB | ratio=0.1187 | reduction=88.13% | time=0.8305s
QP=18 | PSNR=47.44 | SSIM=0.9955 | size=3.44 KB | ratio=0.0559 | reduction=94.41% | time=0.7152s
QP=24 | PSNR=45.78 | SSIM=0.9926 | size=1.64 KB | ratio=0.0266 | reduction=97.34% | time=0.6461s
QP=30 | PSNR=43.20 | SSIM=0.9848 | size=1.02 KB | ratio=0.0166 | reduction=98.34% | time=0.6175s
QP=36 | PSNR=39.38 | SSIM=0.9627 | size=379 B | ratio=0.0060 | reduction=99.40% | time=0.5607s
QP=42 | PSNR=37.01 | SSIM=0.9432 | size=222 B | ratio=0.0035 | reduction=99.65% | time=0.5389s
QP=48 | PSNR=34.13 | SSIM=0.9115 | size=149 B | ratio=0.0024 | reduction=99.76% | time=0.5326s
QP= 6 | PSNR=53.77 | SSIM=0.9994 | size=14.60 KB | ratio=0.2492 | reduction=75.08% | time=1.0327s
QP=12 | PSNR=50.47 | SSIM=0.9984 | size=6.93 KB | ratio=0.1182 | reduction=88.18% | time=0.8201s
QP=18 | PSNR=47.67 | SSIM=0.9956 | size=3.29 KB | ratio=0.0561 | reduction=94.39% | time=0.7307s
QP=24 | PSNR=46.03 | SSIM=0.9927 | size=1.54 KB | ratio=0.0263 | reduction=97.37% | time=0.6290s
QP=30 | PSNR=43.25 | SSIM=0.9846 | size=923 B | ratio=0.0154 | reduction=98.46% | time=0.6052s
QP=36 | PSNR=39.99 | SSIM=0.9671 | size=351 B | ratio=0.0059 | reduction=99.41% | time=0.5701s
QP=42 | PSNR=37.67 | SSIM=0.9516 | size=220 B | ratio=0.0037 | reduction=99.63% | time=0.5487s
QP=48 | PSNR=34.20 | SSIM=0.9156 | size=144 B | ratio=0.0024 | reduction=99.76% | time=0.5540s
QP= 6 | PSNR=53.72 | SSIM=0.9995 | size=15.47 KB | ratio=0.2524 | reduction=74.76% | time=1.0786s
QP=12 | PSNR=50.25 | SSIM=0.9984 | size=7.28 KB | ratio=0.1188 | reduction=88.12% | time=0.8435s
QP=18 | PSNR=47.38 | SSIM=0.9955 | size=3.85 KB | ratio=0.0628 | reduction=93.72% | time=0.7401s
QP=24 | PSNR=45.74 | SSIM=0.9925 | size=1.66 KB | ratio=0.0271 | reduction=97.29% | time=0.7327s
QP=30 | PSNR=42.93 | SSIM=0.9842 | size=1019 B | ratio=0.0162 | reduction=98.38% | time=1.0729s
QP=36 | PSNR=39.30 | SSIM=0.9624 | size=389 B | ratio=0.0062 | reduction=99.38% | time=1.0235s
QP=42 | PSNR=36.96 | SSIM=0.9436 | size=233 B | ratio=0.0037 | reduction=99.63% | time=1.3740s
QP=48 | PSNR=33.79 | SSIM=0.9094 | size=151 B | ratio=0.0024 | reduction=99.76% | time=0.5817s
QP= 6 | PSNR=53.44 | SSIM=0.9994 | size=16.46 KB | ratio=0.2591 | reduction=74.09% | time=1.6163s
QP=12 | PSNR=49.90 | SSIM=0.9984 | size=7.44 KB | ratio=0.1171 | reduction=88.29% | time=2.4197s
QP=18 | PSNR=47.33 | SSIM=0.9957 | size=3.81 KB | ratio=0.0599 | reduction=94.01% | time=1.1903s
QP=24 | PSNR=45.53 | SSIM=0.9925 | size=1.76 KB | ratio=0.0277 | reduction=97.23% | time=1.2433s
QP=30 | PSNR=42.80 | SSIM=0.9841 | size=1.02 KB | ratio=0.0160 | reduction=98.40% | time=0.6155s
QP=36 | PSNR=39.47 | SSIM=0.9666 | size=454 B | ratio=0.0070 | reduction=99.30% | time=0.6024s
QP=42 | PSNR=36.97 | SSIM=0.9486 | size=263 B | ratio=0.0040 | reduction=99.60% | time=0.5708s
QP=48 | PSNR=33.76 | SSIM=0.9127 | size=168 B | ratio=0.0026 | reduction=99.74% | time=0.5411s
QP= 6 | PSNR=53.16 | SSIM=0.9994 | size=18.02 KB | ratio=0.2698 | reduction=73.02% | time=1.0810s
QP=12 | PSNR=49.64 | SSIM=0.9983 | size=8.23 KB | ratio=0.1232 | reduction=87.68% | time=0.8772s
