domain,dataset,compressor,quality,bpp,psnr,ms-ssim
image,SSVTP,VTM-Intra,17.0,0.8368191721132898,50.62071537178532,28.212574856480607
image,SSVTP,VTM-Intra,22.0,0.41494462599854753,48.218588926827394,24.340880692556404
image,SSVTP,VTM-Intra,27.0,0.22483921114742192,46.222785851404474,21.512360469564985
image,SSVTP,VTM-Intra,32.0,0.13242805918663758,44.102502518656635,18.911607662525437
image,SSVTP,VTM-Intra,37.0,0.06729892883079154,41.55445130203888,16.299533415998805
image,SSVTP,VTM-Intra,42.0,0.040437545388525745,39.57808018927586,14.663789313433465
image,SSVTP,VTM-Intra,47.0,0.02725013616557731,37.544519201021195,13.218076416297055
image,SSVTP,VTM-SCC,7.0,3.708915100762527,55.837503160012815,35.31864476249615
image,SSVTP,VTM-SCC,12.0,1.6222682915758897,52.36654018029598,31.189665943527363
image,SSVTP,VTM-SCC,17.0,0.8444157362018881,50.61041046143639,28.185380768170905
image,SSVTP,VTM-SCC,22.0,0.4179812318445897,48.25884605908396,24.402517185148213
image,SSVTP,VTM-SCC,27.0,0.23002337509077703,46.25052629107694,21.568194751282707
image,SSVTP,VTM-SCC,32.0,0.13303944262890338,44.04015329632981,18.830351329110957
image,SSVTP,VTM-SCC,37.0,0.07059515704429917,41.61127652623846,16.36161220927795
image,SSVTP,VTM-SCC,42.0,0.04255934549745821,39.57988908101814,14.662871413170222
image,SSVTP,VTM-SCC,47.0,0.02861326706608566,37.49985002766563,13.159536032163606
